WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	1522	13.71		3.80
WS2	166	19.71		1.20
WS3	723	50.55		1.60
WS4	124	20.13		1.00
WS5	374	41.98		1.00
WS6	445	53.12		1.00
WS7	271	24.42		1.20
WS8	144	16.71		1.00
WS9	299	27.85		1.20
WS10	501	33.41		1.60
WS11	304	22.70		1.20
WS12	199	20.56		1.00
WS13	196	10.71		1.40
WS14	211	12.85		1.40
WS15	381	26.56		1.40
WS16	227	20.56		1.00
WS17	360	50.98		1.00
WS18	323	20.13		1.40
WS19	678	80.11		1.20
WS20	143	12.85		1.20
WS21	318	9.00		1.60
WS22	473	52.69		1.20
WS23	350	25.70		1.40
WS24	297	21.85		1.40
WS25	211	28.70		1.20
WS26	161	22.28		0.80
WS27	318	9.85		1.60

