WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	266	19.71		1.20
WS2	175	15.42		1.40
WS3	277	60.40		0.80
WS4	237	30.84		1.20
WS5	442	39.84		1.20
WS6	479	32.56		1.40
WS7	260	25.70		1.20
WS8	242	24.85		1.20
WS9	320	36.84		1.20
WS10	611	82.68		1.20
WS11	561	39.84		1.40
WS12	200	26.13		1.00
WS13	214	22.70		1.40
WS14	462	43.27		1.20
WS15	137	15.42		1.00
WS16	734	133.66		1.00
WS17	326	23.13		1.40
WS18	129	14.14		1.20
WS19	139	33.41		0.80
WS20	151	21.42		1.00
WS21	154	33.41		0.80
WS22	138	30.84		0.80
WS23	414	54.41		1.00
WS24	619	50.55		1.60
WS25	160	30.42		1.00
WS26	200	60.40		0.60

