WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	392	23.99		1.80
WS2	625	54.41		1.40
WS3	870	104.53		1.20
WS4	224	48.41		0.80
WS5	374	45.84		1.00
WS6	773	62.12		1.40
WS7	186	17.14		1.20
WS8	404	27.42		1.60
WS9	303	23.56		1.60
WS10	254	16.71		1.20
WS11	411	31.70		1.40
WS12	313	24.42		1.60
WS13	257	26.99		1.60
WS14	285	31.70		1.20
WS15	326	52.69		1.00
WS16	213	29.99		1.00
WS17	707	55.69		1.40
WS18	794	41.55		1.80
WS19	239	31.70		1.00
WS20	686	61.69		1.20
WS21	429	36.41		1.40
WS22	129	12.42		1.00
WS23	314	28.70		1.20
WS24	144	20.56		1.00
WS25	543	68.11		1.40
WS26	163	22.70		1.40
WS27	276	21.85		1.60
WS28	539	51.84		1.20
WS29	407	33.84		1.20
WS30	343	24.85		1.40
WS31	964	97.67		1.20
WS32	229	16.28		1.20
WS33	249	25.70		1.40
WS34	211	32.56		1.00
WS35	346	32.56		1.40
WS36	218	22.70		1.20
WS37	215	17.14		1.20
WS38	363	41.98		1.20
WS39	311	29.13		1.20
WS40	227	29.13		1.00
WS41	294	33.84		1.00
WS42	120	14.57		1.00
WS43	299	28.70		1.20
WS44	186	15.42		1.20
WS45	251	17.14		1.40
WS46	328	55.69		1.00
WS47	166	22.28		1.00

