WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	696	139.23		0.80
WS2	746	47.12		1.60
WS3	217	69.40		0.60
WS4	687	109.67		1.00
WS5	421	85.68		1.00
WS6	624	28.27		1.60
WS7	487	71.54		1.00
WS8	586	17.56		2.40
WS9	125	24.42		1.00
WS10	440	71.97		1.00
WS11	229	22.70		1.20
WS12	757	179.49		0.80
WS13	251	17.56		1.40
WS14	596	84.39		1.20
WS15	132	22.28		1.00
WS16	688	104.96		1.20
WS17	214	15.85		1.40
WS18	334	38.13		1.40
WS19	252	51.41		1.00
WS20	203	18.42		1.40
WS21	253	29.56		1.00
WS22	276	20.13		1.40
WS23	245	38.55		1.00
WS24	563	114.38		1.00
WS25	241	41.55		1.00
WS26	169	27.42		1.00
WS27	123	35.13		0.80
WS28	238	66.83		0.80

